sr.no,title,company,description,fraudulent
58,High Salary Offer,DreamCareer Hub,High salary no interview required pay fee.,1
59,Government Job Offer,FakeGov Recruit,Government job guaranteed pay fee.,1
60,Limited Seats Offer,FastHire,Limited seats send payment to confirm job.,1
61,Work From Home Job,Unknown Company,Earn 50000 per week from home no experience needed.,1
62,Guaranteed Placement,FastTrack Careers,Guaranteed job after paying training charges.,1
63,Instant Earning Job,QuickMoney Ltd,Earn money instantly with simple online tasks.,1
64,Part Time Income,EasyCash Corp,Work only 2 hours earn 30000 weekly.,1
65,Direct Selection Job,NoInterview Inc,No interview direct selection send payment.,1
66,Online Data Entry,HomeTyping Jobs,Online typing job pay deposit before joining.,1
67,Registration Required,FutureJobs,Registration fee mandatory before interview.,1
68,High Salary Offer,DreamCareer Hub,High salary no interview required pay fee.,1
69,Government Job Offer,FakeGov Recruit,Government job guaranteed pay fee.,1
70,Limited Seats Offer,FastHire,Limited seats send payment to confirm job.,1
71,Work From Home Job,Unknown Company,Earn 50000 per week from home no experience needed.,1
72,Guaranteed Placement,FastTrack Careers,Guaranteed job after paying training charges.,1
73,Instant Earning Job,QuickMoney Ltd,Earn money instantly with simple online tasks.,1
74,Part Time Income,EasyCash Corp,Work only 2 hours earn 30000 weekly.,1
75,Direct Selection Job,NoInterview Inc,No interview direct selection send payment.,1
76,Online Data Entry,HomeTyping Jobs,Online typing job pay deposit before joining.,1
77,Registration Required,FutureJobs,Registration fee mandatory before interview.,1
78,High Salary Offer,DreamCareer Hub,High salary no interview required pay fee.,1
79,Government Job Offer,Governmentjobs,Government job guaranteed pay fee.,1
80,Limited Seats Offer,FastHire,Limited seats send payment to confirm job.,1
81,Work From Home Job,Unknown Company,Earn 50000 per week from home no experience needed.,1
82,Guaranteed Placement,FastTrack Careers,Guaranteed job after paying training charges.,1
83,Instant Earning Job,QuickMoney Ltd,Earn money instantly with simple online tasks.,1
84,Part Time Income,Easycash ,Work only 2 hours earn 30000 weekly.,1
85,Direct Selection Job,NoInterview Inc,No interview direct selection send payment.,1
86,Online Data Entry,HomeTyping Jobs,Online typing job pay deposit before joining.,1
87,Registration Required,FutureJobs,Registration fee mandatory before interview.,1
88,High Salary Offer,DreamCareer Hub,High salary no interview required pay fee.,1
89,Government Job Offer,FakeGov Recruit,Government job guaranteed pay fee.,1
90,Limited Seats Offer,FastHire,Limited seats send payment to confirm job.,1
91,Work From Home Job,Unknown Company,Earn 50000 per week from home no experience needed.,1
92,Guaranteed Placement,FastTrack Careers,Guaranteed job after paying training charges.,1
93,Instant Earning Job,QuickMoney Ltd,Earn money instantly with simple online tasks.,1
94,Part Time Income,EasyCash Corp,Work only 2 hours earn 30000 weekly.,1
95,Direct Selection Job,NoInterview Inc,No interview direct selection send payment.,1
96,Online Data Entry,HomeTyping Jobs,Online typing job pay deposit before joining.,1
97,Registration Required,FutureJobs,Registration fee mandatory before interview.,1
98,High Salary Offer,DreamCareer Hub,High salary no interview required pay fee.,1
99,Government Job Offer,unified mentor,Government job guaranteed pay fee.,1
100,Limited Seats Offer,unified Mentor,Limited seats send payment to confirm job.,1
101,no intervie,Unified Mentor,no intervie,1
102,,,,
